local done
remote done
1380677160.0 1380677160.73
1380677151.0 1380677151.42
1380677151.0 1380677151.64
1380677161.0 1380677161.3
1380677161.0 1380677161.52
1380677226.0 1380677226.76
1380677221.0 1380677221.01
1380677221.0 1380677221.88
1380677222.0 1380677222.59
1380677223.0 1380677223.5
1380677223.0 1380677223.7
1380677239.0 1380677239.13
1379291074.0 1379291074.43
1380677225.0 1380677225.02
1380677224.0 1380677224.78
1380677225.0 1380677225.21
1380677225.0 1380677225.61
1380677235.0 1380677235.86
1380677237.0 1380677237.4
1380677243.0 1380677243.48
1380677244.0 1380677244.09
1380677239.0 1380677239.9
1380677240.0 1380677240.47
1380677241.0 1380677241.42
1380677242.0 1380677242.86
1380677242.0 1380677242.68
1380677251.0 1380677251.15
1380677243.0 1380677243.74
1380677165.0 1380677165.36
1380677169.0 1380677169.2
1380677198.0 1380677198.53
1380677194.0 1380677194.17
1380677193.0 1380677193.96
1380677194.0 1380677194.08
1380677196.0 1380677196.27
1380677195.0 1380677195.63
1380677518.0 1380677518.42
1380677516.0 1380677516.21
1380677517.0 1380677517.25
1380677517.0 1380677517.46
1380677518.0 1380677518.12
1380677569.0 1380677569.42
1379291076.0 1379291076.44
1380677519.0 1380677519.34
1380677519.0 1380677519.16
1380677569.0 1380677569.43
1380677569.0 1380677569.43
1380677569.0 1380677569.42
1380677569.0 1380677569.43
1380677569.0 1380677569.43
1380677569.0 1380677569.43
1380677569.0 1380677569.42
1380677569.0 1380677569.42
1380677519.0 1380677519.52
1380677519.0 1380677519.87
1380677566.0 1380677566.5
1380677568.0 1380677568.01
1380677567.0 1380677567.26
1380677567.0 1380677567.67
1380677567.0 1380677567.75
1380677569.0 1380677569.18
1379291091.0 1379291091.02
1379291089.0 1379291089.39
1379291089.0 1379291089.41
1379291089.0 1379291089.39
1379291089.0 1379291089.36
1379291089.0 1379291089.37
1379291091.0 1379291091.03
1379291089.0 1379291089.32
1379291089.0 1379291089.35
1379291079.0 1379291079.24
1379291078.0 1379291078.55
1379291078.0 1379291078.56
1379291078.0 1379291078.64
1379291078.0 1379291078.64
1379291078.0 1379291078.65
1379291078.0 1379291078.51
1379291078.0 1379291078.54
1379291093.0 1379291093.8
1379291093.0 1379291093.75
1379291093.0 1379291093.61
1379291093.0 1379291093.6
1379291093.0 1379291093.61
1379291093.0 1379291093.75
1379291093.0 1379291093.72
1379291093.0 1379291093.67
1379291093.0 1379291093.75
1379291093.0 1379291093.58
1379291093.0 1379291093.76
1379291093.0 1379291093.05
1379291093.0 1379291093.1
1379291092.0 1379291092.78
1379291093.0 1379291093.55
1379291093.0 1379291093.16
1379291093.0 1379291093.16
1379291093.0 1379291093.51
1379291093.0 1379291093.44
1379291093.0 1379291093.39
1379291093.0 1379291093.55
1379291093.0 1379291093.47
1379291093.0 1379291093.43
1379291093.0 1379291093.43
1379291093.0 1379291093.13
1379291093.0 1379291093.56
1379291093.0 1379291093.82
1379291092.0 1379291092.76
1379291092.0 1379291092.76
1379291093.0 1379291093.79
1379291092.0 1379291092.55
1379291091.0 1379291091.37
1379291091.0 1379291091.36
1379291091.0 1379291091.39
1379291091.0 1379291091.37
1379291091.0 1379291091.31
1379291091.0 1379291091.33
1379291092.0 1379291092.57
1379291091.0 1379291091.28
1379291091.0 1379291091.27
1379291091.0 1379291091.25
1379291091.0 1379291091.28
1379291091.0 1379291091.31
1380388649.0 1380388649.12
1379291075.0 1379291075.08
1379291074.0 1379291074.98
1379291074.0 1379291074.98
1379291074.0 1379291074.98
1379291075.0 1379291075.09
1379291075.0 1379291075.03
1379291075.0 1379291075.02
1379291075.0 1379291075.01
1379291075.0 1379291075.03
1380677206.0 1380677206.01
1379291075.0 1379291075.62
1380677197.0 1380677197.29
1380677197.0 1380677197.76
1380677199.0 1380677199.79
1380677199.0 1380677199.92
1379291075.0 1379291075.58
1380677218.0 1380677218.52
1380677218.0 1380677218.6
1380677219.0 1380677219.38
1380677220.0 1380677220.71
1379291079.0 1379291079.34
1379291079.0 1379291079.31
1379291079.0 1379291079.31
1379291079.0 1379291079.35
1379291079.0 1379291079.27
1379291079.0 1379291079.3
1379291088.0 1379291088.7
1379291088.0 1379291088.52
1379291088.0 1379291088.54
1379291088.0 1379291088.53
1379291088.0 1379291088.67
1379291088.0 1379291088.49
1379291088.0 1379291088.5
1379291088.0 1379291088.57
1379291089.0 1379291089.27
1379291088.0 1379291088.44
1379291088.0 1379291088.4
1379291088.0 1379291088.45
1379291088.0 1379291088.7
1379291088.0 1379291088.63
1379291088.0 1379291088.62
1379291088.0 1379291088.48
1379291091.0 1379291091.16
1379291091.0 1379291091.06
1379291091.0 1379291091.04
1379291091.0 1379291091.23
1379291091.0 1379291091.21
1379291091.0 1379291091.08
1379291091.0 1379291091.09
1379291091.0 1379291091.09
1379291088.0 1379291088.35
1379291088.0 1379291088.34
1379291088.0 1379291088.34
1379291088.0 1379291088.25
local done
remote done
[]
**************************************
